,asin,com,market_ids,variation,listed_date,salesRANK,prices,ave_rating,color,itemLength,itemWidth,itemHeight,itemWeight,Fra_income,sales,Brand,Firm,suction,isEligibleForSuperSaverShipping,Wok_1charge,year,pro_age
81,B01MQIGKMM,2018-04B01MQIGKMM,2018-04,None,14/11/2016 00:00,731,88.39,3.94,White,74,279,279,1588,72648000,11666,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2018,4
82,B01MQIGKMM,2018-12B01MQIGKMM,2018-12,None,14/11/2016 00:00,655,84.99,3.75,White,74,279,279,1588,73536000,12529,B01MQIGKMM,PURE CLEAN,1200,FALSE,90,2018,4
83,B01MU4WAUI,2019-12B01MU4WAUI,2019-12,None,28/12/2016 00:00,130137,329.99,3.8,White,345,345,96,3810,74401790,1,B01MU4WAUI,Xiaomi,1800,FALSE,150,2019,3
84,B01MU4WAUI,2020-01B01MU4WAUI,2020-01,None,28/12/2016 00:00,144465,364.99,3.75,White,345,345,96,3810,75550080,1,B01MU4WAUI,Xiaomi,1800,FALSE,150,2020,2
85,B01MU4WAUI,2020-02B01MU4WAUI,2020-02,None,28/12/2016 00:00,148513,364.99,3.753333333,White,345,345,96,3810,75361600,1,B01MU4WAUI,Xiaomi,1800,FALSE,150,2020,2
86,B01MU4WAUI,2017-04B01MU4WAUI,2017-04,None,28/12/2016 00:00,12914,269,4.5,White,345,345,96,3810,70751340,2000,B01MU4WAUI,Xiaomi,1800,FALSE,150,2017,5
87,B01MU4WAUI,2019-06B01MU4WAUI,2019-06,None,28/12/2016 00:00,89194,266,3.85,White,345,345,96,3810,73281660,305,B01MU4WAUI,Xiaomi,1800,FALSE,150,2019,3
88,B01MU4WAUI,2019-08B01MU4WAUI,2019-08,None,28/12/2016 00:00,74529,332.82,3.75,White,345,345,96,3810,73521260,423,B01MU4WAUI,Xiaomi,1800,FALSE,150,2019,3
89,B01MU4WAUI,2017-01B01MU4WAUI,2017-01,None,28/12/2016 00:00,63792,395,5,White,345,345,96,3810,70567200,509,B01MU4WAUI,Xiaomi,1800,FALSE,150,2017,5
90,B01MU4WAUI,2017-09B01MU4WAUI,2017-09,None,28/12/2016 00:00,4916,249,4.655555556,White,345,345,96,3810,71072100,3819,B01MU4WAUI,Xiaomi,1800,FALSE,150,2017,5
