asin,listed_date,isEligibleForSuperSaverShipping,Brand,Firm,market_ids,prices,ave_rating,title,variationCSV,suction,Wok_1charge,sales,itemWidth,itemHeight,itemWeight
B07X53V3V6,27/08/2019 00:00,FALSE,30cmax,eufy,R20Q2,279.0745455,4.45,"eufy by anker, boostiq robovac 30c max, robot vacuum cleaner, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging, cleans hard floors to medium-pile carpets",None,2000,100,7858,325,72,2699
B07X53V3V6,27/08/2019 00:00,FALSE,30cmax,eufy,R21Q1,251.691,4.546153846,"eufy by anker, boostiq robovac 30c max, robot vacuum cleaner, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging, cleans hard floors to medium-pile carpets",None,2000,100,6219,325,72,2699
B07X53V3V6,27/08/2019 00:00,FALSE,30cmax,eufy,R22Q1,227.8734783,4.5,"eufy by anker, boostiq robovac 30c max, robot vacuum cleaner, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging, cleans hard floors to medium-pile carpets",None,2000,100,7231,325,72,2699
B07X53V3V6,27/08/2019 00:00,FALSE,30cmax,eufy,R20Q1,292.8501493,4.45,"eufy by anker, boostiq robovac 30c max, robot vacuum cleaner, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging, cleans hard floors to medium-pile carpets",None,2000,100,17613,325,72,2699
B083BDDR7W,31/12/2019 00:00,FALSE,30cmax,eufy,R21Q1,186.9666667,4.285714286,"eufy boostiq robovac 30c max, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile, black (renewed)",None,2000,100,710,325,72,2699
B083BDDR7W,31/12/2019 00:00,FALSE,30cmax,eufy,R20Q3,247.59,1,"eufy boostiq robovac 30c max, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile, black (renewed)",None,2000,100,1,325,72,2699
B083BDDR7W,31/12/2019 00:00,FALSE,30cmax,eufy,R21Q4,173.3214286,4.36,"eufy boostiq robovac 30c max, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile, black (renewed)",None,2000,100,370,325,72,2699
B083BDDR7W,31/12/2019 00:00,FALSE,30cmax,eufy,R21Q2,198.0471429,4.45,"eufy boostiq robovac 30c max, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile, black (renewed)",None,2000,100,400,325,72,2699
B083BDDR7W,31/12/2019 00:00,FALSE,30cmax,eufy,R21Q3,186.3334783,4.35,"eufy boostiq robovac 30c max, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile, black (renewed)",None,2000,100,4072,325,72,2699
B083BDDR7W,31/12/2019 00:00,FALSE,30cmax,eufy,R22Q1,154.99,4.383333333,"eufy boostiq robovac 30c max, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile, black (renewed)",None,2000,100,479,325,72,2699
B083BDDR7W,31/12/2019 00:00,FALSE,30cmax,eufy,R20Q4,223.5382353,3.754545455,"eufy boostiq robovac 30c max, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile, black (renewed)",None,2000,100,1618,325,72,2699
B085ZT58X4,01/01/2011 00:00,FALSE,30cmax,eufy,R20Q2,292.6533333,5,"eufy by anker, boostiq robovac 30c max, robot vacuum cleaner<U+4E28>robovac replacement kit",None,2000,100,1,325,72,2699
B085ZT58X4,01/01/2011 00:00,FALSE,30cmax,eufy,R20Q4,277.98,4.866666667,"eufy by anker, boostiq robovac 30c max, robot vacuum cleaner<U+4E28>robovac replacement kit",None,2000,100,1,325,72,2699
B085ZT58X4,01/01/2011 00:00,FALSE,30cmax,eufy,R21Q1,277.98,4.725,"eufy by anker, boostiq robovac 30c max, robot vacuum cleaner<U+4E28>robovac replacement kit",None,2000,100,1,325,72,2699
B085ZT58X4,01/01/2011 00:00,FALSE,30cmax,eufy,R21Q4,215.99,4.7,"eufy by anker, boostiq robovac 30c max, robot vacuum cleaner<U+4E28>robovac replacement kit",None,2000,100,1,325,72,2699
B085ZT58X4,01/01/2011 00:00,FALSE,30cmax,eufy,R22Q1,215.99,4.7,"eufy by anker, boostiq robovac 30c max, robot vacuum cleaner<U+4E28>robovac replacement kit",None,2000,100,1,325,72,2699
B085ZT58X4,01/01/2011 00:00,FALSE,30cmax,eufy,R20Q3,277.98,4.65,"eufy by anker, boostiq robovac 30c max, robot vacuum cleaner<U+4E28>robovac replacement kit",None,2000,100,123,325,72,2699
B07KKFBBV4,14/11/2018 00:00,FALSE,35c,eufy,R20Q3,281.1642222,4.2,"eufy by anker, boostiq robovac 35c, robot vacuum cleaner, wi-fi, upgraded, super-thin, 1500pa strong suction, touch-control panel, 6ft boundary strips, quiet, cleans hard floors to medium-pile carpets",None,1500,100,1,325,72,2699
B07KKFBBV4,14/11/2018 00:00,FALSE,35c,eufy,R21Q2,261.1297414,4.15,"eufy by anker, boostiq robovac 35c, robot vacuum cleaner, wi-fi, upgraded, super-thin, 1500pa strong suction, touch-control panel, 6ft boundary strips, quiet, cleans hard floors to medium-pile carpets",None,1500,100,1,325,72,2699
